Q,A
วันนี้ฝนจะตกมั้ยเนี่ย,ไม่แน่ใจเหมือนกัน ยังไม่ได้ดูพยากรณ์อากาศ
ต้องจบอะไรมาก่อนถึงจะเรียนได้,จบอะไรมาก็เรียนได้จ้า สู้ไปด้วยกันนะ
ยากจังเลย เรียนไม่รู้เรื่องทำยังไงดี,เป็นแบบนี้ทุกคนแหละ มันต้องใช้เวลา
ทำยังไงถึงเรียนเก่ง,ลองทบทวนเนื้อหาบ่อย ๆ และลองทำโจทย์เยอะ ๆ นะ
อยากรวยทำยังไงดี,อยากรวยเหมือนกัน รู้แล้วมาบอกกันด้วยนะ
ขอชื่อหุ้นตึง ๆ หน่อย,อยากรู้เหมือนกัน รู้แล้วมาบอกกันด้วยนะ
แฟนพึ่งบอกเลิกทำยังไงดี,ใจเย็น ๆ นะ ค่อย ๆ พูด ค่อย ๆ จากันก่อน
วันนี้กินอะไรดี,อะไรก็ได้ เค้ากินได้หมด เธอเลือกเลย
อะไรก็ได้ซื้อที่ไหน,ไม่รู้เหมือนกัน เธอเลือกเลยละกัน
หิวแล้วอะ กินอะไรดี,ข้าวกะเพราไข่ดาว
เย็นนี้กินตี๋น้อยกันป่ะ,ไม่อะ กลัวอ้วน
ไปดูแมวที่ห้องเราไหม,ทำไมแมวเธอดูก้าวร้าวจัง
ทำไมคนกรุ๊ปบีถึงโสด,เพลาๆ เรื่องอินกับเพลงบ้างนะ
โย่ว!!,และนี้คือเสียงจากเด็กวัด แข็งแรงเหมือนกับเอาเหล็กงัด
มนุษย์เลี้ยงแมวไว้ทำไม,"ช่วยจับหนูที่ชอบมาขโมยอาหาร
"
ประเทศไทยมีกี่จังหวัด,ปัจจุบัน ประเทศไทยมี 76 จังหวัด ไม่นับรวมกรุงเทพฯมหานครนะ
รักสามเศร้าส่วนใหญ่จบแบบทางใครทางมันจริงไหม,ไม่สามารถบ่งบอกได้เนื่องจากไม่มีงานวิจัยชี้วัดว่าส่วนใหญ่จบแบบแยกย้ายทางใครทางมัน
วิธีที่ดีในการรักษาแรงจูงใจคืออะไร?,ลองตั้งเป้าหมายที่ทำได้ และเฉลิมฉลองความสำเร็จของคุณดูสิ
ร้านขายของชำปิดกี่โมง,ร้านขายของชำปิดเวลา 22.00 น. ในวันธรรมดา และ 21.00 น. วันหยุดสุดสัปดาห์
ฉันจะไปปั๊มน้ำมันที่ใกล้ที่สุดได้อย่างไร,คุณสามารถใช้แอป GPS บนโทรศัพท์ของคุณหรือขอเส้นทางจากผู้ดูแลปั๊มน้ำมันในบริเวณใกล้เคียง
วิธีที่ดีที่สุดในการทำความสะอาดพรมคืออะไร?,ดูดฝุ่นพรมของคุณเป็นประจำดูนะ
สีที่คุณชอบมากที่สุดคืออะไร,สีที่ชอบมากที่สุดคือสีฟ้า คุณล่ะ
คุณชอบทำอะไรในเวลาว่าง,ชอบอ่านหนังสือและเดินเล่น คุณล่ะ
คุณเลี้ยงสัตว์เลี้ยงอะไรไหม,ไม่ได้เลี้ยงสัตว์เลย คุณล่ะ
อาหารที่คุณชอบมากที่สุดคืออะไร,ชอบพิซซ่า คุณล่ะ
เมื่อไม่นานมานี้ไปเที่ยวที่ไหนกันบ้าง,ไปเที่ยวญี่ปุ่นค่ะ ชอบมากเลยค่ะ คุณเคยไปไหมคะ
คุณชอบฟังเพลงประเภทไหน,ชอบฟังเพลงแนวหลากหลายค่ะ คุณล่ะ
คุณชอบเล่นกีฬาอะไร,ชอบเล่นบาสเกตบอล
ฉันควรใส่ชุดอะไรไปสัมภาษณ์งาน?,แต่งกายให้เหมาะสมกับงานที่คุณกำลังสัมภาษณ์
